,Release Year,Title,Origin,categories,attributes,all keywords,Genres,IMDb_Rating,Keywords,Cast
10663,1990,It,American,"['American', ' New', ' British', ' Street', ' African', ' Adult', ' Knife', ' Pita']",[],"['American', ' New', ' British', ' Street', ' African', ' Adult', ' Knife', ' Pita']",,,,
10664,1990,Jacob's Ladder,American,"['American', ' New', ' Bar', ' bar', ' Special', ' Pita', ' Family']",[],"['American', ' New', ' Bar', ' bar', ' Special', ' Pita', ' Family']",,,,
10665,1990,Jetsons: The Movie,American,"['New', ' Personal', ' Stands', ' Pan', ' Latin', ' Style', ' Day', ' Family']",[],"['New', ' Personal', ' Stands', ' Pan', ' Latin', ' Style', ' Day', ' Family']",,,,
10666,1990,Joe Versus the Volcano,American,"['New', ' Tea', ' Small', ' Bar', ' bar', ' Social', ' Style', ' Day', ' Water']",['romantic'],"['New', ' Tea', ' Small', ' Bar', ' bar', ' Social', ' Style', ' Day', ' Water', ' romantic']",,,,
10667,1990,The Kill-Off,American,"['New', ' Small', ' Bar', ' bar', ' Adult']",[],"['New', ' Small', ' Bar', ' bar', ' Adult']",,,,
10668,1990,Killer Tomatoes Strike Back,American,['New'],[],['New'],,,,
10669,1990,Kindergarten Cop,American,"['New', ' Tea', ' Style', ' Pita', ' Family']",[],"['New', ' Tea', ' Style', ' Pita', ' Family']","['Action', 'Comedy', 'Crime']",6,"['astoria', 'kindergarten', 'kindergarten teacher', 'school', 'teacher']",
10670,1990,King of New York,American,"['New', ' Tea', ' Hotel', ' Dinner', ' Social', ' Room', ' Colombian', ' Day']",[],"['New', ' Tea', ' Hotel', ' Dinner', ' Social', ' Room', ' Colombian', ' Day']",,,,
10671,1990,Laser Mission,American,"['Entertainment', ' Special']",[],"['Entertainment', ' Special']",,,,
10672,1990,The Last of the Finest,American,"['American', ' Tea', ' Small', ' Local', ' Pan', ' Meat', ' Latin']",[],"['American', ' Tea', ' Small', ' Local', ' Pan', ' Meat', ' Latin']",,,,
10673,1990,Leatherface: The Texas Chainsaw Massacre III,American,"['Meat', ' Dinner', ' Room', ' Kitchen', ' Family']",[],"['Meat', ' Dinner', ' Room', ' Kitchen', ' Family']",,,,
10674,1990,The Lemon Sisters,American,"['Bars', ' Bar', ' bar']",[],"['Bars', ' Bar', ' bar']",,,,
10675,1990,Lionheart,American,"['American', ' New', ' Tea', ' French', ' Bar', ' bar', ' Family']",[],"['American', ' New', ' Tea', ' French', ' Bar', ' bar', ' Family']",,,,
10676,1990,The Long Walk Home,American,"['American', ' African', ' Pan', ' Day', ' South', ' Family']",[],"['American', ' African', ' Pan', ' Day', ' South', ' Family']",,,,
10677,1990,Look Who's Talking Too,American,"['New', ' Tea', ' Bar', ' bar', ' Pan', ' Kids', ' Day', ' Oil']",[],"['New', ' Tea', ' Bar', ' bar', ' Pan', ' Kids', ' Day', ' Oil']",,,,
10678,1990,Loose Cannons,American,"['New', ' Tea', ' Comfort', ' Personal', ' Bar', ' bar', ' German', ' Pub', ' Day', ' Pita']",[],"['New', ' Tea', ' Comfort', ' Personal', ' Bar', ' bar', ' German', ' Pub', ' Day', ' Pita']","['Comedy', 'Drama', 'Romance']",7.3,"['gay', 'gay friend', 'grandmother grandson relationship', 'heart attack', 'mother son relationship']",
10679,1990,Lord of the Flies,American,"['American', ' Tea', ' Bar', ' bar', ' Meat', ' Adult', ' Knife', ' Special']",[],"['American', ' Tea', ' Bar', ' bar', ' Meat', ' Adult', ' Knife', ' Special']",,,,
10680,1990,Love at Large,American,"['Tea', ' Raw']",[],"['Tea', ' Raw']",,,,
10681,1990,Madhouse,American,"['Middle Eastern', ' New', ' Comfort', ' Small', ' Local', ' Bar', ' bar', ' Room', ' Day', ' Oil', ' Special', ' Pita', ' Guest']",[],"['Middle Eastern', ' New', ' Comfort', ' Small', ' Local', ' Bar', ' bar', ' Room', ' Day', ' Oil', ' Special', ' Pita', ' Guest']",,,,
10682,1990,Maniac Cop 2,American,"['New', ' Street', ' Cocktail', ' Hotel', ' Convenience', ' Pub', ' Store']",[],"['New', ' Street', ' Cocktail', ' Hotel', ' Convenience', ' Pub', ' Store']",,,,
10683,1990,Marked for Death,American,"['American', ' New', ' Tea', ' Street', ' Local', ' Cocktail', ' Bar', ' African', ' bar', ' Reunion', ' Pan', ' Day', ' Pita', ' Family']",[],"['American', ' New', ' Tea', ' Street', ' Local', ' Cocktail', ' Bar', ' African', ' bar', ' Reunion', ' Pan', ' Day', ' Pita', ' Family']",,,,
10684,1990,Masters of Menace,American,"['Beer', ' Country']",[],"['Beer', ' Country']",,,,
